Player,From,To,Yrs,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
Filip Chytil,2018,2024,7,337,64,80,144,-11,80,57,7,0,9,70,10,0,678,9.4,4731,14:02,chytifi01
Hank Ciesla,1958,1959,2,131,8,20,28,,35,8,0,0,3,19,1,0,,,,,cieslha01
Zdeno Cíger,2002,2002,1,29,6,7,13,-3,16,5,1,0,1,6,1,0,48,12.5,420,14:30,cigerzd01
Joe Cirella,1991,1993,3,141,7,18,25,13,258,5,1,1,0,14,3,1,117,6,,,cireljo01
Fredrik Claesson,2019,2019,1,37,2,4,6,3,9,2,0,0,0,3,0,1,44,4.5,638,17:15,claesfr01
Dan Clark,1979,1979,1,4,0,1,1,1,6,0,0,0,0,1,0,0,4,0,,,clarkda01
Adam Clendening,2017,2017,1,31,2,9,11,3,17,1,1,0,0,8,1,0,38,5.3,490,15:49,clendad01
Bruce Cline,1957,1957,1,30,2,3,5,,10,2,0,0,1,3,0,0,,,,,clinebr01
Ryane Clowe,2013,2013,1,12,3,5,8,5,14,2,1,0,0,4,1,0,22,13.6,204,17:02,clowery01
Bill Collins,1976,1976,1,50,4,4,8,-19,38,3,0,1,0,3,1,0,47,8.5,,,collibi01
Mac Colville,1936,1947,9,353,71,102,173,,130,62,6,3,15,74,21,7,,,,,colvima01
Neil Colville*,1936,1949,12,465,100,166,266,,213,85,8,7,19,130,30,6,,,,,colvine01
Les Colwill,1959,1959,1,69,7,6,13,,16,5,0,2,3,5,0,1,,,,,colwile01
Jim Conacher,1952,1953,2,33,1,5,6,,4,1,0,0,0,3,2,0,,,,,conacji01
Pat Conacher,1980,1983,2,22,0,6,6,-9,8,0,0,0,0,6,0,0,20,0,,,conacpa01
Pete Conacher,1955,1956,2,93,21,18,39,,18,19,2,0,5,13,5,0,,,,,conacpe01
Bert Connelly,1935,1936,2,72,12,13,25,,33,12,0,0,4,12,1,0,,,,,connebe01
Cam Connor,1980,1983,3,28,1,6,7,9,81,1,0,0,0,6,0,0,26,3.8,,,connoca01
Bill Cook*,1927,1937,11,475,228,138,366,,386,33,9,0,43,30,12,0,,,,,cookbi01
Bun Cook*,1927,1936,10,433,154,141,295,,450,28,6,1,31,28,13,0,,,,,cookbu01
Hal Cooper,1945,1945,1,8,0,0,0,,2,0,0,0,0,0,0,0,,,,,coopeha01
Joe Cooper,1936,1947,4,154,5,13,18,,134,4,1,0,1,13,0,0,,,,,coopejo01
Andrew Copp,2022,2022,1,16,8,10,18,13,8,7,0,1,2,9,1,0,32,25,272,17:01,coppan01
Art Coulter*,1936,1942,7,288,18,68,86,,342,14,3,1,4,56,9,3,,,,,coultar01
Russ Courtnall,1997,1997,1,14,2,5,7,-3,2,0,1,1,1,3,2,0,24,8.3,,,courtru01
Danny Cox,1934,1934,1,13,5,0,5,,2,4,1,0,0,0,0,0,,,,,coxda01
Adam Cracknell,2018,2018,1,4,0,0,0,-1,0,0,0,0,0,0,0,0,4,0,30,7:30,crackad01
Bob Crawford,1986,1987,2,14,1,2,3,1,12,1,0,0,0,2,0,0,16,6.3,,,crawfbo01
Dave Creighton,1956,1958,3,210,55,87,142,,123,38,17,0,8,56,31,0,,,,,creigda01
Cory Cross,2003,2003,1,26,0,4,4,13,16,0,0,0,0,3,0,1,18,0,447,17:12,crossco01
Brian Cullen,1960,1961,2,106,19,40,59,-1,12,12,7,0,1,30,10,0,151,12.6,,,cullebr01
Matt Cullen,2007,2007,1,80,16,25,41,0,52,11,2,3,2,18,5,2,217,7.4,1373,17:10,cullema01
Ray Cullen,1966,1966,1,8,1,3,4,-2,0,1,0,0,0,3,0,0,10,10,,,cullera01
Bob Cunningham,1961,1962,2,4,0,1,1,2,0,0,0,0,0,1,0,0,3,0,,,cunnibo01
Ian Cushenan,1960,1960,1,17,0,1,1,-13,22,0,0,0,0,1,0,0,7,0,,,cusheia01
William Cuylle,2023,2024,2,18,3,2,5,0,16,3,0,0,1,1,1,0,20,15,206,11:28,cuyllwi01
Paul Cyr,1988,1989,2,41,4,13,17,-5,43,2,1,1,0,11,2,0,72,5.6,,,cyrpa01
Hank D'Amore,1944,1944,1,4,1,0,1,,2,1,0,0,0,0,0,0,,,,,damorha01
Ulf Dahlén,1988,1990,3,189,71,60,131,-5,106,39,32,0,9,37,23,0,417,17,,,dahleul01
Alexandre Daigle,2000,2000,1,58,8,18,26,-5,23,7,1,0,1,13,5,0,52,15.4,637,10:59,daiglal02
Gord Davidson,1943,1944,2,51,3,6,9,,8,3,0,0,0,6,0,0,,,,,davidgo01
Jason Dawe,2000,2002,2,4,0,1,1,-1,2,0,0,0,0,1,0,0,9,0,50,12:32,daweja01
Nigel Dawes,2007,2009,3,121,25,24,49,5,25,19,6,0,8,22,2,0,224,11.2,1524,12:36,dawesni01
Greg de Vries,2004,2004,1,53,3,12,15,12,37,3,0,0,0,10,1,1,58,5.2,1007,19:01,devrigr01
Billy Dea,1954,1954,1,14,1,1,2,,2,1,0,0,0,1,0,0,,,,,deabi01
Tony DeAngelo,2018,2021,4,167,19,73,92,-6,139,16,3,0,3,40,33,0,341,5.6,3131,18:45,deangan01
Lucien DeBlois,1978,1989,6,326,57,79,136,-36,297,53,4,0,6,68,9,2,494,11.5,,,deblolu01
Michael Del Zotto,2010,2014,5,292,26,95,121,-4,116,16,8,2,3,45,48,2,397,6.5,5973,20:27,delzomi01
Val Delory,1949,1949,1,1,0,0,0,,0,0,0,0,0,0,0,0,,,,,delorva01
Ab DeMarco,1944,1947,4,182,67,87,154,,34,61,6,0,4,73,14,0,,,,,demarab01
Ab DeMarco,1970,1973,4,104,8,21,29,35,19,6,2,0,2,19,2,0,207,3.9,,,demarab02
Tony Demers,1944,1944,1,1,0,0,0,,0,0,0,0,0,0,0,0,,,,,demerto01
