Player,From,To,Yrs,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
Aaron Ward,2007,2007,1,60,3,10,13,-3,57,3,0,0,0,10,0,0,45,6.7,1182,19:42,wardaa01
Dixon Ward,2003,2003,1,8,0,0,0,-2,2,0,0,0,0,0,0,0,7,0,70,8:45,warddi01
Jason Ward,2006,2007,2,127,14,24,38,-7,70,11,0,3,2,21,1,2,193,7.3,1635,12:52,wardja01
Eddie Wares,1937,1937,1,2,2,0,2,,0,2,0,0,1,0,0,0,,,,,waresed01
Billy Warwick,1943,1944,2,14,3,3,6,,16,3,0,0,0,3,0,0,,,,,warwibi01
Grant Warwick,1942,1948,7,293,117,116,233,,177,90,27,0,12,100,16,0,,,,,warwigr01
Phil Watson,1936,1948,12,547,128,233,361,,491,106,16,6,20,202,24,7,,,,,watsoph01
Chick Webster,1950,1950,1,14,0,0,0,,4,0,0,0,0,0,0,0,,,,,webstjo01
Doug Weight,1992,1993,2,118,23,47,70,1,78,20,3,0,3,30,17,0,162,14.2,,,weighdo01
Dale Weise,2011,2011,1,10,0,0,0,-1,19,0,0,0,0,0,0,0,9,0,65,6:30,weiseda01
Jay Wells,1992,1995,4,186,5,23,28,4,277,5,0,0,0,22,1,0,138,3.6,,,wellsja01
Len Wharton,1945,1945,1,1,0,0,0,,0,0,0,0,0,0,0,0,,,,,whartle01
Simon Wheeldon,1988,1989,2,11,0,2,2,-3,6,0,0,0,0,2,0,0,4,0,,,wheelsi01
Blake Wheeler,2024,2024,1,14,1,2,3,-4,8,0,1,0,0,2,0,0,25,4,168,12:00,wheelbl01
Rob Whistle,1986,1986,1,32,4,2,6,-1,10,3,1,0,1,1,1,0,30,13.3,,,whistro01
Sherman White,1947,1950,2,4,0,2,2,,0,0,0,0,0,1,1,0,,,,,whitesh01
Todd White,2011,2011,1,18,1,1,2,-2,2,1,0,0,0,0,0,1,11,9.1,138,7:41,whiteto02
Trent Whitfield,2002,2002,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,13,12:44,whitftr01
Doug Wickenheiser,1989,1989,1,1,1,0,1,1,0,1,0,0,0,0,0,0,4,25,,,wickedo01
Juha Widing,1970,1970,1,44,7,7,14,3,10,5,2,0,0,7,0,0,90,7.8,,,widinju01
Jim Wiemer,1985,1986,2,29,7,3,10,-10,32,5,2,0,1,2,1,0,73,9.6,,,wiemeji01
David Wilkie,2001,2001,1,1,0,0,0,-2,2,0,0,0,0,0,0,0,1,0,12,11:33,wilkida01
Jeremy Williams,2011,2011,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,3:43,willije01
Tom Williams,1972,1974,3,25,1,3,4,-2,6,1,0,0,0,2,1,0,26,3.8,,,willito02
Bert Wilson,1974,1975,2,66,6,2,8,1,68,4,2,0,1,2,0,0,41,14.6,,,wilsobe01
Carey Wilson,1989,1990,2,82,30,51,81,5,102,16,14,0,4,26,25,0,172,17.4,,,wilsoca01
Johnny Wilson,1961,1962,2,96,25,15,40,-5,38,23,1,1,3,14,0,1,183,13.7,,,wilsojo01
Mike Wilson,2003,2003,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,13,12:41,wilsomi02
Chad Wiseman,2004,2006,2,5,1,1,2,1,4,1,0,0,0,1,0,0,4,25,44,8:48,wisemch01
Johan Witehall,1999,2001,3,28,1,4,5,-5,10,1,0,0,0,4,0,0,23,4.3,230,8:13,witehjo01
Wojtek Wolski,2011,2012,2,46,6,16,22,10,10,5,1,0,1,13,3,0,89,6.7,638,13:52,wolskwo01
Robert Wood,1951,1951,1,1,0,0,0,,0,0,0,0,0,0,0,0,,,,,woodro01
Jeff Woywitka,2012,2012,1,27,1,5,6,2,8,1,0,0,0,5,0,0,13,7.7,281,10:25,woywije01
Bill Wylie,1951,1951,1,1,0,0,0,,0,0,0,0,0,0,0,0,,,,,wyliebi01
Keith Yandle,2015,2016,2,103,7,51,58,2,48,5,2,0,3,28,23,0,207,3.4,2055,19:57,yandlke01
Harry York,1998,1999,2,7,0,0,0,-2,4,0,0,0,0,0,0,0,7,0,63,12:40,yorkha01
Mike York,2000,2002,3,230,58,80,138,-8,54,43,13,2,13,59,19,2,536,10.8,4110,17:52,yorkmi01
Tom Younghans,1982,1982,1,47,3,5,8,0,17,3,0,0,0,4,0,1,37,8.1,,,youngto01
Rob Zamuner,1992,1992,1,9,1,2,3,0,2,1,0,0,0,2,0,0,11,9.1,,,zamunro01
Joe Zanussi,1975,1975,1,8,0,2,2,5,4,0,0,0,0,2,0,0,8,0,,,zanusjo01
Nikolai Zherdev,2009,2009,1,82,23,35,58,6,39,18,4,1,3,28,7,0,219,10.5,1380,16:50,zherdni01
Mika Zibanejad,2017,2024,8,500,206,259,465,46,145,107,90,9,33,169,79,11,1455,14.2,9799,19:36,zibanmi01
Sergei Zubov*,1993,1995,3,165,30,126,156,17,61,12,18,0,1,62,62,2,431,7,,,zubovse01
Mats Zuccarello,2011,2019,9,509,113,239,352,37,215,91,21,1,21,161,77,1,1067,10.6,9046,17:46,zuccama01
